CÓDIGO MRV;Código Krona;Código Tigre;Código Amanco;Descrição Curta;Descrição Longa;UMP;Embalagem Padrão;PR;SC;RS;MT;MS;GO;DF
1105696;344;22002465;14323;"ADAPTADOR PVC RIG PRED;40MMX1 1/4BSP";"ADAPTADOR PVC RIGIDO PREDIAL;APLICACAO:CAIXA AGUA;TIPO CONEXAO:CURTO SOLDAVEL/ROSCA;DIAMETRO/ROSCA:40MMX1 1/4BSP;DADOS EXTRAS:C/ANEL;NORMA:NBR 5648";UN;;12,436;12,436;12,436;12,436;12,436;11,495;11,495
1105817;1460;26752329;11438;"TE PVC RIG PRED;90GR;ESG;150X150MM;REF";"TE PVC RIGIDO PREDIAL;ANGULACAO:90GR;APLICACAO:ESGOTO;DIAMETRO/ROSCA:150X150MM;SERIE:R EFORCADA;DADOS EXTRAS:NORMA:NBR 7362/5688;S/ROSCA";UN;;54,13;54,13;54,13;54,13;54,13;54,13;54,13
1105826;342;22002457;14321;"ADAPTADOR PVC RIG PRED;25MMX3/4BSP";"ADAPTADOR PVC RIGIDO PREDIAL;APLICACAO:CAIXA AGUA;TIPO CONEXAO:CURTO SOLDAVEL/ROSCA;DIAMETRO/ROSCA:25MMX3/4BSP;DADOS EXTRAS:C/ANEL;NORMA:NBR 5648";UN;;4,349;4,349;4,349;4,349;4,349;4,349;4,349
1106121;1415;26751489;11636;"JOELHO PVC RIG PRED;45GR;ESG;75MM";"JOELHO PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:75MM;SERIE:SERIE REFORCADA;DADOS EXTRAS:NORMA:NBR 7362/5688";UN;;7,079;7,079;7,079;7,079;7,079;6,808;6,808
1106123;1414;26751470;12492;"JOELHO PVC RIG PRED;45GR;ESG;50MM;REF";"JOELHO PVC RIGIDO PREDIAL;ANGULO:45GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:50MM;SERIE:REFORCADA;DADOS EXTRAS:NORMAS:NBR 7362/5688";UN;;3,639;3,639;3,639;3,639;3,639;3,499;3,499
1106124;1459;26752302;11805;"TE PVC RIG PRED;90GR;ESG;100X100MM;REF";"TE PVC RIGIDO PREDIAL;ANGULACAO:90GR;APLICACAO:ESGOTO;CONEXAO:SOLDAVEL/JUNTA ELASTICA;DIAMETRO/ROSCA:100X100MM;SERIE:REFORCADA;DADOS EXTRAS:NORMAS:NBR 7362/5688";UN;;24,406;24,406;24,406;24,406;24,406;23,472;23,472
1106125;1441;26752108;11740;"LUVA PVC RIG PRED;ESG;PONT/BOLS;100MM";"LUVA PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA/BOLSA;DIAMETRO/ROSCA:100MM;SERIE: REFORCADA;DADOS EXTRAS:MODELO:SIMPLES;NORMA:NBR 7362/5688";UN;;7,885;7,885;7,885;7,885;7,885;7,582;7,582
1106127;1440;26752086;11741;"LUVA PVC RIG PRED;ESG;PONT/BOLS;75MM;REF";"LUVA PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA/BOLSA;DIAMETRO/ROSCA:75MM;SERIE:R EFORCADA;DADOS EXTRAS:MODELO:SIMPLES;NORMA:NBR 7362/5688";UN;;4,689;4,689;4,689;4,689;4,689;4,507;4,507
1106128;1439;26752060;12498;"LUVA PVC RIG PRED;ESG;PONT/BOLS;50MM;REF";"LUVA PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA/BOLSA;DIAMETRO/ROSCA:50MM;SERIE:R EFORCADA;DADOS EXTRAS:MODELO:SIMPLES;NORMA:NBR 7362/5688";UN;;2,39;2,39;2,39;2,39;2,39;2,299;2,299
1106129;136;11054420;12483;"TUBO PVC RIG PRED;ESG;50MM;REF;6000MM";"TUBO PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:JUNTA ELASTICA;DIAMETRO/ROSCA:50MM;SERIE:REFORCADA;COMPRIMENTO:6000MM;DADOS EXTRAS:NORMA:NBR 7362/5688";UN;;56,111;56,111;56,111;56,111;56,111;54,376;54,376
